Time,iL1,iL2,vC1,vC2,V2,V3,V1
0.00034,13.3844,0.685141,24.9298,0.859769,0.4,0.6,0
0.000341,13.4074,0.684279,25.0637,0.864892,0.4,0.59,0
0.000342,13.4303,0.683412,25.1979,0.869995,0.4,0.58,0
0.000343,13.453,0.682539,25.3323,0.87508,0.4,0.57,0
0.000344,13.4756,0.681661,25.467,0.880146,0.4,0.56,0
0.000345,13.4981,0.680779,25.6018,0.885193,0.4,0.55,0
0.000346,13.5204,0.679891,25.7369,0.890221,0.4,0.54,0
0.000347,13.5426,0.678998,25.8722,0.89523,0.4,0.53,0
0.000348,13.5647,0.678101,26.0078,0.90022,0.4,0.52,0
0.000349,13.5866,0.677198,26.1435,0.905191,0.4,0.51,0
0.00035,13.6084,0.67629,26.2795,0.910143,0.4,0.5,0
0.000351,13.63,0.675378,26.4157,0.915076,0.4,0.49,0
0.000352,13.6515,0.67446,26.5521,0.91999,0.4,0.48,0
0.000353,13.6729,0.673538,26.6887,0.924885,0.4,0.47,0
0.000354,13.6942,0.67261,26.8256,0.929761,0.4,0.46,0
0.000355,13.7153,0.671678,26.9626,0.934618,0.4,0.45,0
0.000356,13.7362,0.670741,27.0999,0.939456,0.4,0.44,0
0.000357,13.7571,0.669799,27.2373,0.944275,0.4,0.43,0
0.000358,13.7778,0.668852,27.375,0.949075,0.4,0.42,0
0.000359,13.7983,0.667901,27.5129,0.953856,0.4,0.41,0
0.00036,13.8187,0.666945,27.651,0.958618,0.4,0.4,0
0.000361,13.839,0.693732,27.7824,0.963563,0.4,0.39,1
0.000362,13.8591,0.720646,27.9138,0.968768,0.4,0.38,1
0.000363,13.8791,0.747654,28.0452,0.974166,0.4,0.37,1
0.000364,13.899,0.774787,28.1765,0.979824,0.4,0.36,1
0.000365,13.9188,0.802047,28.3077,0.985743,0.4,0.35,1
0.000366,13.9384,0.829431,28.4388,0.991923,0.4,0.34,1
0.000367,13.9579,0.85694,28.5699,0.998364,0.4,0.33,1
0.000368,13.9773,0.884574,28.7008,1.00507,0.4,0.32,1
0.000369,13.9965,0.912332,28.8317,1.01204,0.4,0.31,1
0.00037,14.0156,0.940213,28.9625,1.01927,0.4,0.3,1
0.000371,14.0346,0.968218,29.0932,1.02676,0.4,0.29,1
0.000372,14.0534,0.996346,29.2238,1.03452,0.4,0.28,1
0.000373,14.0721,1.0246,29.3543,1.04255,0.4,0.27,1
0.000374,14.0907,1.05297,29.4848,1.05085,0.4,0.26,1
0.000375,14.1091,1.08146,29.6151,1.05941,0.4,0.25,1
0.000376,14.1275,1.11008,29.7453,1.06824,0.4,0.24,1
0.000377,14.1457,1.13882,29.8754,1.07734,0.4,0.23,1
0.000378,14.1637,1.16768,30.0055,1.08671,0.4,0.22,1
