Time,iL,v
0.000663,18.7499,-24.2618
0.000664,18.7012,-24.4004
0.000665,18.6522,-24.5382
0.000666,18.603,-24.6753
0.000667,18.5535,-24.8116
0.000668,18.5038,-24.9471
0.000669,18.4538,-25.0819
0.00067,18.4035,-25.2159
0.000671,18.3529,-25.3491
0.000672,18.3021,-25.4815
0.000673,18.251,-25.6132
0.000674,18.1996,-25.7441
0.000675,18.148,-25.8742
0.000676,18.0961,-26.0036
0.000677,18.044,-26.1321
0.000678,17.9916,-26.2599
0.000679,17.9389,-26.3869
0.00068,17.886,-26.5132
0.000681,17.8329,-26.6386
0.000682,17.7795,-26.7633
0.000683,17.7258,-26.8871
0.000684,17.6719,-27.0102
0.000685,17.6178,-27.1325
0.000686,17.5634,-27.254
0.000687,17.5088,-27.3748
0.000688,17.4539,-27.4947
0.000689,17.3988,-27.6139
0.00069,17.3435,-27.7322
0.000691,17.2879,-27.8498
0.000692,17.2321,-27.9666
0.000693,17.176,-28.0826
0.000694,17.1197,-28.1978
0.000695,17.0632,-28.3122
0.000696,17.0065,-28.4258
0.000697,16.9495,-28.5386
0.000698,16.8923,-28.6506
0.000699,16.8349,-28.7619
0.0007,16.7773,-28.8723
0.000701,16.7194,-28.9819
0.000702,16.6613,-29.0908
0.000703,16.6031,-29.1988
0.000704,16.5445,-29.306
0.000705,16.4858,-29.4125
0.000706,16.4269,-29.5181
0.000707,16.3678,-29.6229
0.000708,16.3084,-29.7269
0.000709,16.2488,-29.8302
0.00071,16.1891,-29.9326
0.000711,16.1291,-30.0342
0.000712,16.0689,-30.135
0.000713,16.0086,-30.2351
0.000714,15.948,-30.3343
0.000715,15.8872,-30.4327
0.000716,15.8263,-30.5303
0.000717,15.7651,-30.6271
0.000718,15.7038,-30.7231
0.000719,15.6422,-30.8183
0.00072,15.5805,-30.9127
0.000721,15.5186,-31.0062
0.000722,15.4565,-31.099
0.000723,15.3942,-31.191
0.000724,15.3317,-31.2821
0.000725,15.2691,-31.3725
0.000726,15.2062,-31.462
0.000727,15.1432,-31.5507
0.000728,15.08,-31.6387
0.000729,15.0167,-31.7258
0.00073,14.9531,-31.8121
0.000731,14.8894,-31.8976
0.000732,14.8255,-31.9823
0.000733,14.7615,-32.0662
0.000734,14.6973,-32.1493
0.000735,14.6329,-32.2315
0.000736,14.5683,-32.313
0.000737,14.5036,-32.3937
0.000738,14.4388,-32.4735
0.000739,14.3737,-32.5525
0.00074,14.3085,-32.6308
0.000741,14.2432,-32.7082
0.000742,14.1777,-32.7848
0.000743,14.1121,-32.8606
0.000744,14.0463,-32.9356
0.000745,13.9803,-33.0098
0.000746,13.9142,-33.0832
0.000747,13.848,-33.1557
0.000748,13.7816,-33.2275
0.000749,13.7151,-33.2985
0.00075,13.6484,-33.3686
0.000751,13.5816,-33.4379
0.000752,13.5147,-33.5065
0.000753,13.4476,-33.5742
0.000754,13.3804,-33.6411
0.000755,13.313,-33.7073
0.000756,13.2455,-33.7726
0.000757,13.1779,-33.8371
0.000758,13.1102,-33.9008
0.000759,13.0423,-33.9637
0.00076,12.9743,-34.0258
0.000761,13.0703,-33.9578
0.000762,13.1663,-33.89
0.000763,13.2623,-33.8223
0.000764,13.3583,-33.7547
0.000765,13.4543,-33.6873
0.000766,13.5503,-33.62
0.000767,13.6463,-33.5528
0.000768,13.7423,-33.4858
0.000769,13.8383,-33.4189
0.00077,13.9343,-33.3521
0.000771,14.0303,-33.2854
0.000772,14.1263,-33.2189
0.000773,14.2223,-33.1526
0.000774,14.3183,-33.0863
0.000775,14.4143,-33.0202
0.000776,14.5103,-32.9542
0.000777,14.6063,-32.8884
0.000778,14.7023,-32.8227
0.000779,14.7983,-32.7571
0.00078,14.8943,-32.6917
0.000781,14.9903,-32.6263
0.000782,15.0863,-32.5612
0.000783,15.1823,-32.4961
0.000784,15.2783,-32.4312
0.000785,15.3743,-32.3664
0.000786,15.4703,-32.3017
0.000787,15.5663,-32.2372
0.000788,15.6623,-32.1728
0.000789,15.7583,-32.1085
0.00079,15.8543,-32.0443
0.000791,15.9503,-31.9803
0.000792,16.0463,-31.9164
0.000793,16.1423,-31.8526
0.000794,16.2383,-31.789
0.000795,16.3343,-31.7255
0.000796,16.4303,-31.6621
0.000797,16.5263,-31.5988
0.000798,16.6223,-31.5357
0.000799,16.7183,-31.4727
0.0008,16.8143,-31.4098
0.000801,16.9103,-31.347
0.000802,17.0063,-31.2844
0.000803,17.1023,-31.2219
0.000804,17.1983,-31.1595
0.000805,17.2943,-31.0973
0.000806,17.3903,-31.0351
0.000807,17.4863,-30.9731
0.000808,17.5823,-30.9112
0.000809,17.6783,-30.8495
0.00081,17.7743,-30.7878
0.000811,17.8703,-30.7263
0.000812,17.9663,-30.6649
0.000813,18.0623,-30.6037
0.000814,18.1583,-30.5425
0.000815,18.2543,-30.4815
0.000816,18.3503,-30.4206
0.000817,18.4463,-30.3598
0.000818,18.5423,-30.2992
0.000819,18.6383,-30.2386
0.00082,18.7343,-30.1782
0.000821,18.8303,-30.1179
0.000822,18.9263,-30.0577
0.000823,19.0223,-29.9977
0.000824,19.1183,-29.9377
0.000825,19.2143,-29.8779
0.000826,19.3103,-29.8182
0.000827,19.4063,-29.7587
0.000828,19.5023,-29.6992
0.000829,19.5983,-29.6399
0.00083,19.6943,-29.5806
0.000831,19.7903,-29.5215
0.000832,19.8863,-29.4626
0.000833,19.9823,-29.4037
0.000834,20.0783,-29.3449
0.000835,20.1743,-29.2863
0.000836,20.2703,-29.2278
0.000837,20.3663,-29.1694
0.000838,20.4623,-29.1111
0.000839,20.5583,-29.0529
0.00084,20.6543,-28.9949
0.000841,20.5961,-29.1428
0.000842,20.5376,-29.2898
0.000843,20.4789,-29.4362
0.000844,20.4198,-29.5816
0.000845,20.3605,-29.7262
0.000846,20.3009,-29.8699
0.000847,20.2411,-30.0128
0.000848,20.1809,-30.1547
0.000849,20.1204,-30.2958
0.00085,20.0597,-30.4359
