Time,I(Le),I(L),Vc
0.000556,2.25989,8.81172,168.328
0.000557,2.14707,8.87592,168.225
0.000558,2.03453,8.94003,168.119
0.000559,1.92226,9.00402,168.009
0.00056,1.81027,9.06791,167.896
0.000561,1.69857,9.1317,167.779
0.000562,1.58716,9.19538,167.659
0.000563,1.47605,9.25894,167.535
0.000564,1.36525,9.32239,167.407
0.000565,1.25476,9.38573,167.277
0.000566,1.14458,9.44896,167.142
0.000567,1.03473,9.51206,167.004
0.000568,0.925203,9.57505,166.863
0.000569,0.816008,9.63792,166.718
0.00057,0.707152,9.70067,166.57
0.000571,0.59864,9.76329,166.418
0.000572,0.490477,9.82579,166.263
0.000573,0.382669,9.88816,166.104
0.000574,0.275221,9.9504,165.942
0.000575,0.168138,10.0125,165.777
0.000576,0.0614268,10.0745,165.608
0.000577,-0.0449082,10.1363,165.436
0.000578,-0.150861,10.198,165.26
0.000579,-0.256428,10.2596,165.081
0.00058,-0.361601,10.3211,164.899
0.000581,-0.466377,10.3824,164.713
0.000582,-0.57075,10.4435,164.524
0.000583,-0.674714,10.5045,164.331
0.000584,-0.778265,10.5654,164.136
0.000585,-0.881397,10.6261,163.937
0.000586,-0.984105,10.6867,163.734
0.000587,-1.08638,10.7471,163.529
0.000588,-1.18823,10.8074,163.32
0.000589,-1.28963,10.8675,163.107
0.00059,-1.39059,10.9275,162.892
0.000591,-1.49111,10.9873,162.673
0.000592,-1.59116,11.047,162.451
0.000593,-1.69076,11.1065,162.226
0.000594,-1.78989,11.1658,161.997
0.000595,-1.88855,11.225,161.766
0.000596,-1.98674,11.2841,161.531
0.000597,-2.08445,11.3429,161.293
0.000598,-2.18167,11.4016,161.052
0.000599,-2.2784,11.4601,160.807
0.0006,-2.37464,11.5185,160.56
0.000601,-2.47038,11.5767,160.309
0.000602,-2.56561,11.6347,160.055
0.000603,-2.66034,11.6925,159.799
0.000604,-2.75455,11.7502,159.539
0.000605,-2.84825,11.8077,159.276
0.000606,-2.94142,11.865,159.01
0.000607,-3.03406,11.9222,158.74
0.000608,-3.12617,11.9792,158.468
0.000609,-3.21775,12.0359,158.193
0.00061,-3.30878,12.0925,157.915
0.000611,-3.39927,12.149,157.634
0.000612,-3.4892,12.2052,157.35
0.000613,-3.57858,12.2613,157.062
0.000614,-3.6674,12.3171,156.772
0.000615,-3.75566,12.3728,156.479
0.000616,-3.84334,12.4283,156.183
0.000617,-3.93046,12.4836,155.884
0.000618,-4.01699,12.5387,155.583
0.000619,-4.10294,12.5936,155.278
0.00062,-4.18831,12.6483,154.971
0.000621,-4.27309,12.7028,154.66
0.000622,-4.35727,12.7571,154.347
0.000623,-4.44085,12.8113,154.031
0.000624,-4.52383,12.8652,153.712
0.000625,-4.6062,12.9189,153.391
0.000626,-4.68796,12.9724,153.066
0.000627,-4.7691,13.0257,152.739
0.000628,-4.84962,13.0788,152.409
0.000629,-4.92952,13.1318,152.077
0.00063,-5.00879,13.1845,151.741
0.000631,-5.08743,13.2369,151.403
0.000632,-5.16543,13.2892,151.063
0.000633,-5.24279,13.3413,150.719
0.000634,-5.31951,13.3932,150.373
0.000635,-5.39558,13.4448,150.025
0.000636,-5.471,13.4962,149.674
0.000637,-5.54576,13.5475,149.32
0.000638,-5.61986,13.5985,148.964
0.000639,-5.6933,13.6492,148.605
0.00064,-5.76608,13.6998,148.243
0.000641,-5.83818,13.7502,147.879
0.000642,-5.9096,13.8003,147.513
0.000643,-5.98035,13.8502,147.144
